feature_id,name,layer,category,metric_type,description,data_source,earliest_available,update_frequency,decay_method,target_engine,confidence_default,correlation_group,lifecycle,version_introduced,owner
SQUAD-006,Core Player Accumulated Minutes,L3,Fatigue,Dynamic,Recent minutes played by likely core players,Lineup and match data,T-24h,Daily,Half-life,Fatigue Adjustment,0.92,Fatigue,Experimental,PRISM Enterprise 2026.1,Squad Engine
SQUAD-007,Bench Quality,L3,Depth,Static,Quality of realistic substitute options,Squad and player data,T-24h,Weekly,None,Scenario Resilience,0.75,Squad Depth,Experimental,PRISM Enterprise 2026.1,Squad Engine
SQUAD-008,Rotation Probability,L3,Rotation,Derived,Probability of meaningful rotation,News schedule and lineup model,T-24h,Continuous,Scenario mixture,Squad Adjustment,0.70,Projected Lineup,Experimental,PRISM Enterprise 2026.1,Squad Engine
SQUAD-009,New Manager Regime Break,L3,Regime Break,Event,Recent managerial change and style discontinuity,Club official,T-7d,Daily,Half-life,Variance and Style,0.95,Regime Break,Experimental,PRISM Enterprise 2026.1,Squad Engine
SQUAD-010,New Signing Registration,L3,Regime Break,Event,Eligibility and registration status of key signing,Competition and club official,T-24h,Continuous,None,Squad Adjustment,0.93,Personnel Event,Experimental,PRISM Enterprise 2026.1,Squad Engine
SQUAD-011,New Signing Integration,L3,Regime Break,Dynamic,Estimated tactical and chemistry integration,Minutes news and model,T-24h,Daily,Half-life,Squad Adjustment,0.60,Personnel Impact,Draft,PRISM Enterprise 2026.1,Squad Engine
MARKET-001,Opening 1X2 De-vig Probability,L4,Market,Derived,Margin-removed opening match result probabilities,Odds provider,T-72h,On change,None,Market Calibration,0.95,Market Strength,Candidate,PRISM Enterprise 2026.1,Market Engine
MARKET-002,Current 1X2 De-vig Probability,L4,Market,Dynamic,Margin-removed current match result probabilities,Odds provider,T-24h,Frequent,None,Market Calibration,0.96,Market Strength,Candidate,PRISM Enterprise 2026.1,Market Engine
MARKET-003,Opening Asian Handicap,L4,Market,Dynamic,Opening handicap line and price,Odds provider,T-72h,On change,None,Market Calibration,0.95,Market Strength,Experimental,PRISM Enterprise 2026.1,Market Engine
MARKET-004,Current Asian Handicap,L4,Market,Dynamic,Current handicap line and price,Odds provider,T-24h,Frequent,None,Market Calibration,0.96,Market Strength,Experimental,PRISM Enterprise 2026.1,Market Engine
MARKET-005,Opening Goal Total,L4,Market,Dynamic,Opening over-under line and prices,Odds provider,T-72h,On change,None,Total Goals Prior,0.95,Market Total,Experimental,PRISM Enterprise 2026.1,Market Engine
MARKET-006,Current Goal Total,L4,Market,Dynamic,Current over-under line and prices,Odds provider,T-24h,Frequent,None,Total Goals Prior,0.96,Market Total,Experimental,PRISM Enterprise 2026.1,Market Engine
MARKET-007,Market Velocity,L4,Market Movement,Derived,Rate and direction of odds and line movement,Odds history,T-12h,Frequent,None,Market Confidence,0.90,Market Movement,Experimental,PRISM Enterprise 2026.1,Market Engine
MARKET-008,Fundamental Market Divergence,L4,Market Anomaly,Derived,Difference between model fundamentals and market movement,Derived,T-12h,Frequent,None,Calibration and Confidence,0.65,Market Anomaly,Draft,PRISM Enterprise 2026.1,Market Engine
MARKET-009,Closing Market Snapshot,L4,Market,Dynamic,True late closing prices for shadow evaluation,Odds provider,T-60m,Frequent,None,Shadow Evaluation,0.98,Market Strength,Shadow,PRISM Enterprise 2026.1,Market Engine
CTX-001,Tournament Priority,L5,Competition Context,Derived,Relative priority of the competition and fixture,Schedule standings and club context,T-72h,Daily,Scenario mixture,Rotation and Motivation,0.78,Match Incentive,Experimental,PRISM Enterprise 2026.1,Context Engine
CTX-002,Match Importance,L5,Motivation,Derived,Title qualification relegation or dead-rubber importance,Standings and competition rules,T-24h,Daily,None,Motivation Adjustment,0.88,Match Incentive,Experimental,PRISM Enterprise 2026.1,Context Engine
CTX-003,Fixture Congestion,L5,Schedule,Derived,Load from surrounding fixtures,Official schedule,T-72h,Daily,None,Fatigue and Rotation,0.99,Schedule Load,Candidate,PRISM Enterprise 2026.1,Context Engine
CTX-004,Next Match Priority,L5,Schedule,Derived,Importance of the next scheduled fixture,Schedule and context,T-72h,Daily,Scenario mixture,Rotation Probability,0.82,Match Incentive,Experimental,PRISM Enterprise 2026.1,Context Engine
CTX-005,First Leg Score,L5,Two Leg Tie,Static,Confirmed first-leg score,Competition official,T-7d,Once,None,Aggregate Incentive,0.99,Aggregate State,Candidate,PRISM Enterprise 2026.1,Aggregate Incentive Engine
CTX-006,Aggregate State,L5,Two Leg Tie,Derived,Current aggregate score and advancement state,Derived,T-7d,On score change,None,Aggregate Incentive,0.99,Aggregate State,Candidate,PRISM Enterprise 2026.1,Aggregate Incentive Engine
CTX-007,Extra Time Penalty Logic,L5,Competition Rules,Static,Whether extra time and penalties are possible,Competition official,T-7d,Once,None,Scenario Distribution,0.99,Competition Rules,Experimental,PRISM Enterprise 2026.1,Aggregate Incentive Engine
CTX-008,Away Goals Rule,L5,Competition Rules,Static,Whether an away-goals rule applies for the competition season,Competition official,T-7d,Once,None,Aggregate Incentive,0.99,Competition Rules,Experimental,PRISM Enterprise 2026.1,Aggregate Incentive Engine
ENV-001,Travel Distance,L6,Travel,Static,Estimated team travel distance,Geo and fixture data,T-72h,Once,None,Fatigue Adjustment,0.96,Travel Load,Experimental,PRISM Enterprise 2026.1,Environment Engine
ENV-002,Time Zone Displacement,L6,Travel,Static,Time-zone change associated with travel,Geo and fixture data,T-72h,Once,None,Fatigue Adjustment,0.98,Travel Load,Experimental,PRISM Enterprise 2026.1,Environment Engine
ENV-003,Rest Days Difference,L6,Recovery,Derived,Home rest days minus away rest days,Official schedule,T-72h,Daily,None,Fatigue Adjustment,0.99,Schedule Load,Candidate,PRISM Enterprise 2026.1,Environment Engine
ENV-004,Rainfall Forecast,L6,Weather,Dynamic,Forecast precipitation for match time,Weather provider,T-24h,Every 6 hours,Scenario mixture,Goal Distribution,0.85,Weather,Experimental,PRISM Enterprise 2026.1,Environment Engine
ENV-005,Snowfall Forecast,L6,Weather,Dynamic,Forecast snowfall for match time,Weather provider,T-24h,Every 6 hours,Scenario mixture,Goal Distribution,0.85,Weather,Experimental,PRISM Enterprise 2026.1,Environment Engine
ENV-006,Temperature Forecast,L6,Weather,Dynamic,Forecast temperature at match time,Weather provider,T-24h,Every 6 hours,Scenario mixture,Tempo and Fatigue,0.90,Weather,Experimental,PRISM Enterprise 2026.1,Environment Engine
ENV-007,Wind Speed Forecast,L6,Weather,Dynamic,Forecast wind speed at match time,Weather provider,T-24h,Every 6 hours,Scenario mixture,Goal Distribution,0.88,Weather,Experimental,PRISM Enterprise 2026.1,Environment Engine
ENV-008,Altitude,L6,Geography,Static,Venue elevation above sea level,Venue database,Season-static,On venue change,None,Fatigue and Home Advantage,0.99,Venue,Experimental,PRISM Enterprise 2026.1,Environment Engine
ENV-009,Artificial Turf,L6,Pitch,Static,Whether the venue uses artificial turf,Venue and club official,Season-static,On venue change,None,Tactical and Home Adjustment,0.97,Venue,Experimental,PRISM Enterprise 2026.1,Environment Engine
ENV-010,Pitch Dimensions,L6,Pitch,Static,Length and width of the playing surface,Venue and competition data,Season-static,On venue change,None,Tactical Matchup,0.85,Venue,Experimental,PRISM Enterprise 2026.1,Environment Engine
REF-001,Referee Yellow Card Rate,L7,Referee,Time-Decayed,Recent yellow cards per match by referee,Official match data,T-24h,After each match,EWMA,Card Distribution,0.94,Referee Style,Experimental,PRISM Enterprise 2026.1,Referee Engine
REF-002,Referee Red Card Rate,L7,Referee,Time-Decayed,Recent red cards per match by referee,Official match data,T-24h,After each match,EWMA,Red Card Scenario,0.90,Referee Style,Experimental,PRISM Enterprise 2026.1,Referee Engine
REF-003,Referee Penalty Rate,L7,Referee,Time-Decayed,Recent penalties awarded per match by referee,Official match data,T-24h,After each match,EWMA,Goal Distribution,0.90,Referee Style,Experimental,PRISM Enterprise 2026.1,Referee Engine
REF-004,Team Foul Rate,L7,Discipline,Time-Decayed,Recent fouls committed per match,Official match data,T-7d,After each match,EWMA,Discipline Scenario,0.95,Discipline,Experimental,PRISM Enterprise 2026.1,Referee Engine
REF-005,Team Card Accumulation,L7,Discipline,Dynamic,Current yellow and red accumulation,Competition official,T-24h,Daily,None,Suspension Risk,0.98,Discipline,Experimental,PRISM Enterprise 2026.1,Referee Engine
HOME-001,Historical Home Advantage,L7,Home Advantage,Time-Decayed,Venue and team-specific home performance effect,Results data,T-7d,After each match,EWMA,Lambda and Win Probability,0.96,Home Advantage,Candidate,PRISM Enterprise 2026.1,Home Advantage Engine
HOME-002,Expected Attendance,L7,Home Atmosphere,Dynamic,Expected crowd attendance and occupancy,Club venue and ticket sources,T-24h,Daily,Scenario mixture,Home Advantage,0.70,Home Atmosphere,Experimental,PRISM Enterprise 2026.1,Home Advantage Engine
TACT-001,Possession Counterattack Matchup,L8,Tactical Matchup,Derived,Interaction between possession control and counterattacking threat,Performance and tactical data,T-24h,Daily,None,Lambda Interaction,0.70,Tactical Style,Experimental,PRISM Enterprise 2026.1,Tactical Engine
TACT-002,Aerial Ground Matchup,L8,Tactical Matchup,Derived,Interaction between aerial crossing style and opponent aerial defence,Event and player data,T-24h,Daily,None,Lambda Interaction,0.68,Tactical Style,Experimental,PRISM Enterprise 2026.1,Tactical Engine
TACT-003,Set Piece Attack Strength,L8,Set Pieces,Time-Decayed,Recent set-piece attacking output and xG,Event data provider,T-7d,After each match,EWMA,Lambda Attack,0.88,Set Piece,Experimental,PRISM Enterprise 2026.1,Tactical Engine
TACT-004,Set Piece Defence Strength,L8,Set Pieces,Time-Decayed,Recent set-piece defending output and xGA,Event data provider,T-7d,After each match,EWMA,Lambda Defence,0.88,Set Piece,Experimental,PRISM Enterprise 2026.1,Tactical Engine
TACT-005,Press Resistance Matchup,L8,Tactical Matchup,Derived,Interaction between opponent press and buildup resistance,Performance data,T-24h,Daily,None,Turnover and Territory,0.66,Tactical Style,Draft,PRISM Enterprise 2026.1,Tactical Engine
CONF-001,Source Consensus Confidence,L9,Data Quality,Derived,Agreement and authority score across sources,Data Consensus Engine,T-24h,Continuous,None,Confidence Engine,0.80,Data Quality,Experimental,PRISM Enterprise 2026.1,Confidence Engine
CONF-002,Lineup Projection Confidence,L9,Data Quality,Derived,Confidence in projected starters and rotation,Lineup sources and model,T-12h,Continuous,None,Confidence Engine,0.70,Projected Lineup,Experimental,PRISM Enterprise 2026.1,Confidence Engine
CONF-003,Weather Forecast Confidence,L9,Data Quality,Derived,Confidence in match-time weather forecast,Weather provider,T-12h,Every 6 hours,None,Confidence Engine,0.88,Weather,Experimental,PRISM Enterprise 2026.1,Confidence Engine
CONF-004,Market Data Confidence,L9,Data Quality,Derived,Freshness provider coverage and agreement for prices,Odds providers,T-12h,Frequent,None,Confidence Engine,0.95,Market Quality,Experimental,PRISM Enterprise 2026.1,Confidence Engine
CONF-005,Overall Prediction Confidence,L9,Model Confidence,Derived,Composite confidence after missingness and scenario uncertainty,Derived,T-12h,On refresh,None,Recommendation Strength,0.75,Model Confidence,Experimental,PRISM Enterprise 2026.1,Confidence Engine
LINEUP-001,Official Starting Lineup,L3,Availability,Event,Confirmed official starting eleven,Competition or club official,T-60m,Once,None,Shadow Evaluation,0.99,Confirmed Lineup,Shadow,PRISM Enterprise 2026.1,Squad Engine
